Location,Address,Description,Phones,Mobiles,Fax,Contact,Email,Website
Angeles City,"2024 Lakandula St., San Jose, Angeles City",Travel agency,"(63 45) 322-7178 / 5583 / 888-5621 / 5492
",Missing,Missing,"Ma. Gracela Munoz - General Manager
Email airlinktravel_2020",airlinktravel_2020@yahoo.com,Missing
Angeles City,"Unit B Batangas St., Mt. View, Balibago, Angeles City",Travel and tours,"(63 45) 436-0763
",Missing,Missing,"Laiza Manalili
Email airmarktravel",airmarktravel@yaho.com,Missing
"Meycuayan, Bulacan","2/F Prodon Bldg., McArthur Hi-way, Calvario, Meycuayan, Bulacan","Ticketing, passport assistance, tour packages","(63 44) 840-8571 / 935-3200 / (63 2) 482-9038
","0917-405-4563
",Missing,"Ma. Cristina Porciuncula
Email atourama",atourama@gmail.com,Missing
"San Jose, Nueva Ecija","Salvador Bldg., Maharlika Hwy., Bldg., San Jose City, Nueva Ecija",Travel and tours,"(63 44) 511-2779 / 0922-842-1281 / 0908-423-9518
",Missing,"(63 44) 511-2779
","Marites Ocampo - General Manager
Email maritess_ocampo200052",maritess_ocampo200052@yahoo.com,Missing
Angeles City,"Stall C Manalastas Bldg., Surla St., Sta. Maria Village I, Balibago, Angeles City",Travel and tours,"(63 45) 892-4353 / 0917-525-1957 / 0917-525-8351
",Missing,Missing,"Celerina Manalastas
Email almondtravelandtours",almondtravelandtours@yahoo.com,Missing
Angeles City,Missing,Missing,"(63 45) 321-0045 / 624-0203 / 624-0217 / 892-5649 / 862-4787
","0922-844-5319 / 0917-447-5319 / 0918-941-8601
",Missing,"Aurora Agustin - Manager
Phone ",sales@amegatravelandtours.com,www.amegatravelandtours.com
Angeles City,"805 Don Juico Ave., cor Malabanias Rd., Clarkview, Angeles City","Ticketing, passporting, visa assistance, tour packages","(63 45) 888-2175 / 322-5929 / 625-6051 / 6052
",Missing,"(63 45) 322-0801
",Carmen McTavish - General Manager ,angtrav1@yahoo.com,www.angelestravelph.com
Angeles City,"2153-C Don Juico Ave., Josefa Subd., Angeles City",Travel and tours,"(63 45) 892-7639 / 625-4702 / 0908-661-4808
",Missing,Missing,"Analisa Mondoy - General Manager
Email beewaytravel",beewaytravel@yahoo.com,www.beewaytravel.com
Missing,"125-A Teodoro St., Sta. Maria Village II, Balibago, Angeles City",Travel and tours,"(63 45) 321-0637
",Missing,Missing,"Heidi Marquez
Email bennysigua",bennysigua@ben-lyn.com,Missing
Missing,"2/F PACLA Bldg., MacArthur Hwy., Dolores, City of San Fernando, Pampanga","Visa assistance, passport processing, tour packages","(63 45) 961-2020 / 861-2020
","0920-790-1116
","(63 45) 963-2209
","Danilo Cerdena - General Manager
Email bluevoyagesfdo",bluevoyagesfdo@yahoo.com,www.bluevoyagetours.com
Cabanatuan City,"2/F Mega Center, Gen. Tinio St., Cabanatuan City, Nueva Ecija",Travel and tours,"(63 44) 600-0508 / 0920-914-8737
",Missing,Missing,"Mary Christian Muyot
Email cm2travelink",cm2travelink@yahoo.com.ph,Missing
Angeles City,"295 Gloans Bldg., Sto. Rosario St., Angeles City",Travel and tours,"(63 45) 888-4253 / 624-7122
","0922-893-5877
",Missing,"Peter Andrew Ibe - General Manager
Email csi.tours",csi.tours@yahoo.com.ph,Missing
"Mabalacat, Pampanga","#19 Adela Bldg., MacArthur Hi-way, Dau, Mabalacat, Pampanga","Ticketing, passport assistance, tour packages","(63 45) 624-0541/892-3868
",Missing,"(63 45) 624-0107
","Jovita Punzalan
Email carry_ol",carry_ol@yahoo.com,Missing
"City of San Fernando, Pampanga","2-E Rongui Bldg., MacArthur Hwy., Telabastagan, City of San Fernando, Pampanga",Travel and tour services,"(63 2) 985-3289
","0917-525-5520
",Missing,Jeremy Rimando - Owner ,cpes_rimando@yahoo.com.ph,Missing
Clark Freeport Zone / Angeles City,"(Clark Office) Hotel Stotsenberg, Gil Puyat Ave. cor Andres Soriano St., Clark Freeport Zone",Missing,"(63 45) 866-5159 / 425-0354 / 304-0197
","0927-718-8963 / 0933-309-5985
",Missing,Missing,avc_ctsa@yahoo.com.ph,Missing
Angeles City,"Marquis Hotel, 954 Rizal St., cor Plaridel St., Malabanias, Angeles City",travel and tours,"(63 45) 892-3400
","0928-732-7078 / 0932-245-8082
",Missing,"Ronalyn Galang
Email chantelleanetravel",chantelleanetravel@yahoo.com,Missing
Missing,"Clarkton Hotel, 620 Don Juico Ave., Clarkview,Balibago, Angeles City","Travel and tours, visa assistance, passport assistance, domestic tours","(63 45) 893-2216
",Missing,Missing,"Charina Doppman
Email erndopp",erndopp@yahoo.com,www.charinas-travel.com
Angeles City,"109 Bayanihan Commercial Stalls, Fields Ave., Balibago, Angeles City",Travel and tours,"(63 45) 304-1045
",Missing,Missing,"Rosemarie Aquino
Email chinoyexpress",chinoyexpress@gmail.com,Missing
"Plaridel, Bulacan","2/F Graceland Bdlg., MacArthur Hwy., Guinhawa, City of Malolos, Bulacan","domestic and international ticketing, domestic tour packages, passport assistance","(63 44) 796-3496 / 896-1409 / (63 2) 703-9512
",Missing,"(63 44) 796-3496
","Myla Manlapig
Email johnwin467",johnwin467@gmail.com,www.mycitigate.com
"City of San Fernando, Pampanga","Ernesto Plaza, Brgy. San Augstin, MacArthur Hwy., City of San Fernando, Pampanga",Travel and tours,"(63 2) 703-9512 / (63 44) 796-3496
",Missing,Missing,"Myla Manlapig
Email johnwin467",johnwin467@gmail.com,Missing
"Mabalacat, Pampanga","151-C MacArthur Hwy., Dau, Mabalacat, Pampanga",Travel and tours,"(63 45) 331-1801 / 0949-133-5353
",Missing,Missing,"Ma. Cristina Fausto
Email cradletours",cradletours@yahoo.com,Missing
"City of San Fernando, Pampanga","Calsa Arcade 2, Unit 3, 2/F, Jose Abad Santos Ave. (former Olongapo-Gapan Rd.), City of San Fernando, Pampanga","Ticketing, passport assistance, tour packages, domestic tours","(63 45) 963-1348/961-6792/0240
",Missing,"(63 45) 963-2286
","Rubyrose Cagulangan - Managing Director
Email creativetravel_2003",creativetravel_2003@yahoo.com,Missing
Angeles City,"4676 Ramon Tang Ave., Diamond Subd., Balibago, Angeles City","Travel and tours, domestic and intl tour packages, visa assistance, ticketing, immgration","0918-935-3935
",Missing,Missing,"Agnes Lising-Gomez
Email dtravelshopco",dtravelshopco@yahoo.com,Missing
Angeles City,"CDC Stall 91 Bayanihan Park, Fields Ave., Balibago, Angeles City","Travel and tours, passporting, visa assistance","(63 45) 322-8100/625-6055
",Missing,"(63 45) 625-6055
","Ma. Cristina Pecjo
Email dnc_travel",dnc_travel@yahoo.com,Missing
Angeles City,"Branch 1 Boomerang Hotel Lobby, Sierra Madre cor Mayon St., Plaridel I, Malabanias, Angeles City",Travel and tours,"(63 45) 436-1587
","0998-374-6988 / 0915-665-4690 / 0920-542-0125
",Missing,"Myrna Baquedqued
Email dynamicfareasttravel",dynamicfareasttravel@yahoo.com.ph,Missing
"Apalit, Pampanga","MacArthur Hwy., San Vicente Crossing, Apalit, Pampanga",travel and tours,"(63 45) 879-1178
",Missing,"(63 45) 879-1178
","Eliza Capulong - General Manager
Email erc.travelservices.ph",erc.travelservices.ph@gmail.com,Missing
"City of San Fernando, Pampanga","2/F Moriches Bldg., Sindalan, City of San Fernando, Pampanga",Travel and tours,Missing,"0917-723-8854
",Missing,"Sherman Jay Diwa
Email eandeskytravels",eandeskytravels@gmail.com,www.eeskytravels.ph
Angeles City,"530-B JAV Bldg., MacArthur Hwy., Angeles City",Travel and tours,"(63 45) 887-1405 / 3225907
",Missing,"(63 45) 626-1887
","Amabelle de Guzman
Email earthlinktravel",earthlinktravel@yahoo.com,Missing
Cabanatuan City,"Unit 2 1/F, A.E. Balaria Bldg., Mabini St., Cabanatuan City",Travel and tours,Missing,"0917-794-5652
",Missing,"Edleah Manalastas
Email ecijanostravelandtours",ecijanostravelandtours@yahoo.com.ph,Missing
Angeles City,"Rm. 201 JMS Bldg., MacArthur Hwy., Salapungan, Angeles City",Travel and tours,"(63 45) 887-0032 / 322-8961 / 887-0332 / 626-1865 / 888-6998
","0922-832-0904 / 0918-414-7160
",Missing,"Belen Guzman Anna Pamela Guzman
Email ecozone_travel",ecozone_travel@yahoo.com,Missing
Olongapo City,"MCS Bldg., 17 Magsaysay Drive, Olongapo City",Travel and tours,"(63 47) 223-8780 / 0917-485-5549
",Missing,Missing,"Mariela Angelica Abrera
Email elastravelcenter",elastravelcenter@yahoo.com,Missing
"Angeles City, Pampanga","#103 Regala Bldg., Fields Ave., Balibago, Angeles City","Visa assistance, passport processing, tour arrangment, tour packaging, promo fares: USA (LAX and SFO), Hong Kong/Macau/Shenzhen via Tiger Airways (Clark-Macau-Clark)","(63 45) 892-4749/0962/625-6355/323-6406/0917-511-1769
",Missing,Missing,"Annabelle David
Email eurogate.kate",eurogate.kate@yahoo.com,www.eurogateph.com
Tarlac City,"MacArthur Hwy., Sapang Tagalog, Tarlac City",Travel and tours,"0939-239-1737 / 0917-399-0909
",Missing,Missing,"Emil Revivis
Email excursionista2013",excursionista2013@yahoo.com,Missing
"Lubao, Pampanga","Stall B Benigno Fajardo Bldg., San Nicolas 1st, Lubao, Pampanga",Missing,Missing,Missing,"(63 45) 971-7773
","Rita Averion Dizon
Email ectttravelagency",ectttravelagency@yahoo.com,Missing
Tarlac City,"MacArthur Hwy., San Roque, Tarlac City",Travel & Tours,(63 45) 800-2320 ,Missing,Missing,"Jemelie Rigor
Email fabulous_tarlac",fabulous_tarlac@yahoo.com,Missing
Angeles City,"G/F ABC Hotel, Don Juico Ave., Malabanias, Angeles City",Travel and tours,"(63 45) 625-6517
",Missing,Missing,Johan Henk Van Weerden ,pampanga@filipinotravel.com.ph,Missing
Nueva Ecija,"85 Maharlika Hwy., Rizal, Sta. Rosa, Nueva Ecija",Travel & tours,"(63 44) 940-1366
",Missing,"(63 44) 311-2106
","Virginia orogo
Email firstesky",firstesky@yahoo.com,www.firstsky.net
"Magalang, Pampanga","Unit 1 Tampaco Bldg., Lacson St., Sta. Cruz, Magalang, Pampanga",Travel and tours,"(63 45) 435-0370
",Missing,Missing,"Luz Mananghaya
Email fivebrotherstravelandtours",fivebrotherstravelandtours@yahoo.com.ph,Missing
Angeles City,Missing,travel and tours,"(63 45) 624-7175 / 7176
","0949-619-0531
",Missing,"Romilyn Mallari
Email flightfinder.travelandtoursco",flightfinder.travelandtoursco@yahoo.com,Missing
Angeles City,"964 A. Santos St., Balibago, Angeles City",Travel and tours,"(63 45) 625-4704
",Missing,"(63 45) 892-5393
","Richard David
Email flightlinetravel",flightlinetravel@yahoo.com,Missing
Angeles City,"5/D 2/F TNL Bldg., Magalang Rd., Angeles City",Travel agency,Missing,"0917-643-9308
",Missing,"Maricris Simsauco
Email flydotcomhead",flydotcomhead@gmail.com,www.flydotcom.ph
Angeles City,"Rm 101 Mezzanine Flr., Marlim Mansions Hotel Bldg., Diamond Subd., Balibago, Angeles City","passport assistance and documentation, flight booking, local and intl tour packages, hotel accommodation, travel insurance, cruise packages, event organization.","(63 45) 889-5891
",Missing,Missing,Joannabie Mesina - General Manager ,gemcctravellight@yahoo.com,Missing
"Angeles City, Pampanga","Rm 2-01 2/F AAR Bldg., 171 MacArthur Hwy., Balibago, Angeles City","Visa assistance, ticketing, passport processing, tour packages, tour arrangement",Missing,"0918-472-7124 / 0918-242-9968
",Missing,"Gloria de Guzman
Email de_guzmantravel",de_guzmantravel@yahoo.com,Missing
"Sta. Maria, Bulacan","0270 KM 37, Pulong Buhangin, Sta. Maria, Bulacan","Travel and tours, bus rental, team building activities, educational trips, tour packages","(63 44) 818-5944 / 0916-551-7497
",Missing,Missing,"Graciano del Rosario
Email gerjaztours",gerjaztours@yahoo.com,www.gerjaztours.com
Angeles City,"469-B, MacArthur Hwy., Balibago, Angeles City","Airline ticketing, hotel reservation, packaged tours, visa assistance, passport assistance","(63 45) 322-1786 / 304-0592 / 892-0648
",Missing,"(63 45) 322-1786
",Marcia Hernandez - General Manager ,gatt_janica@yahoo.com,www.gatraveltours.com
"Subic, Zambales","0145 2/F Santiago Bldg., Brgy. Baraca, Subic, Zambales",Travel and tours,"(63 47) 232-6313
",Missing,Missing,"Teresita Alejo
Email uc_globaljourney",uc_globaljourney@yahoo.com,Missing
Olongapo City,"10 Anonas St., National Rd., West Bajac-Bajac, Olongapo City",Travel and tours,"(63 47) 611-0130
",Missing,Missing,"Edna Villanueva
Email globalservice_08",globalservice_08@yahoo.com,Missing
"Guagua, Pampanga","35 San Nicolas, Betis, Guagua, Pampanga",Travel and tours,"(63 45) 900-2606 / 2987
",Missing,Missing,"Paciencia Gozum - General Manager
Email gopaztravel",gopaztravel@yahoo.com,Missing
Angeles City,"Unit D Royal Treasure Bldg., Friendship Hwy., Angeles City","Travel and tours, domestic and international tour packages, visa assistance, travel guide, golf tour, hotel booking, visa extension",Missing,"0915-467-9900
",Missing,Atty. Renny Domingo ,greenmangotravel@yahoo.com,Missing
Tarlac City,"C-NELS Bldg., Macabulos Drive, Blk 2, San Roque, Tarlac City",Travel and tours,"(63 45) 982-2015 / 982-2565
",Missing,Missing,Diosdado Cabarios,hanshin_tours@yahoo.com,Missing
Missing,"2/F Eco Bldg., Friendship Hwy., Angeles City",Travel and tours,Missing,"0905-871-7230
",Missing,"Cristy Lopez
Email hanultour",hanultour@yahoo.com,Missing
Angeles City,"932 A & B G/F, Fields Ave., Balibago, Angeles City",Travel and tours,"(63 45) 458-0525 / 892-4387
",Missing,Missing,"Sarah Dane Valencia
Email idealholidays_travel",idealholidays_travel@hotmail.com,Missing
Subic Bay Freeport,"110-112 Alpha Bldg., Subic International Hotel, Subic Bay Freeport Zone",Missing,(63 47) 252-3241/3242 (,Missing,(63 2) 536-1610 (,"Robert Jung Choi
Email ircsubic",ircsubic@yahoo.com,www.hotelclick.co.kr
Nueva Ecija,"Del Pilar Ext. near N. E. Crossing, Sangitan East, Cabanatuan City",Travel and tours,"(63 44-600-0031
","0917-589-5886
",Missing,Juliet Cabiso ,nestorjuliet_20edu@yahoo.com,Missing
Cabanatuan City,"Zulueta St., Brgy. Melojavilla, Cabanatuan City",Travel and tours,"(63 44) 806-2542- / 940-0973
","0920-979-9735 / 0923-749-4466
",Missing,"Manolito Gutierrez
Email jennybti",jennybti@yahoo.com,Missing
Clark Freeport,"G/F Fontana Leisure Parks, CM Recto Hwy., Clark Freeport, Pampanga",travel and tours,"(63 45) 599-5000
",Missing,Missing,"Herbert Ngo
Email jimeitravelcoinc",jimeitravelcoinc@yahoo.com,Missing
Angeles City,"711-B Nile St., cor Meliton St., Riverside Subd., Anunas, Angeles City",Travel and tours,"(63 45) 405-0311 / 893-1709
",Missing,Missing,"Youn Su Kim
Email yskim0206",yskim0206@yahoo.co.kr,Missing
Cabanatuan City,"2/F N.E. Pacific Mall, Maharlika Hwy., Cabanatuan City, Nueva Ecija",Travel and tours,"(63 44) 940-1478
",Missing,Missing,"Mary Joyce Castro
Email kabayantravel2",kabayantravel2@yahoo.com,Missing
Olongapo City,"1395 Rizal Ave., West Tapinac, Olongapo City",Travel and tours,"(6 47) 223-6688
",Missing,Missing,"Luzviminda Javellana
Email lmjtravel2004",lmjtravel2004@gmail.com,Missing
"Mabalacat, Pampanga","G/F Plaza Romana Bldg., MacArthur Hwy., Dau, Mabalacat, Pampanga","Travel and tours, passporting, visa assistance, tour packaging","(63 45) 331-1036 / 1356 / 0918-331-4650
",Missing,Missing,"Lerma Quiambao - General Manager
Email lqmtravel",lqmtravel@yahoo.com.ph,Missing
"City of San Jose del Monte, Bulacan","Unit H, 2/F, MASJ Bldg., Carriedo St., Brgy. Muzon, City of San Jose del Monte, Bulacan",Travel and tour services,"(63 44) 913-0453 / (63 2) 925-4087
",Missing,Missing,"Catherine Simbulan
Email lakbaypinoytours",lakbaypinoytours@yahoo.com,www.lakbaypinoytours.webs.com
Angeles City,"Stall 90 Fields Ave. Extension, Balibago, Angeles City","Travel and tours, ticketing, passporting, visa assistance","(63 45) 892-0910 / 0917-510-8900
",Missing,"(63 45) 625-6344
",Bryan Concepcion ,legrandtours@yahoo.com,Missing
"Subic, Zambales","Dr 3 G/F Sta. Monica Bldg., Sta. Monica Subd., Subic, Zambales",Travel and tours,"(63 47) 232-0084
",Missing,Missing,"Robert Chester
Email libertycall.philippines",libertycall.philippines@yahoo.com,http://www.libertycallphilippines.com/
Angeles City,"Tiger Hotel, Narciso St., Josefa Subd., Balibago, Angeles City",Travel and tours,"(63 45) 892-4647
","0908-865-9840 / 0921-456-7044 / 0923-729-6835
",Missing,"Marissa Cura
Email mrc_tour",mrc_tour@yahoo.com,Missing
Angeles City,"Unit 06 The Pavilion Mall, M.A. Roxas Ave., Clark Freeport, Pampanga",Travel and tours,"(63 45) 499-5139
",Missing,Missing,"Peter John Lising
Email magtravelandtours",magtravelandtours@gmail.com,Missing
Missing,"Stall #10, G/F Aguas Bldg., MacArthur Hwy., Balibago, Angeles City","Visa assistance, passport, tour packages","(63 45) 625-7665
","0919-314-1331 / 0917-507-1357
",Missing,"Person Reynaldo Garcia
Email majemahtravel1",majemahtravel1@yahoo.com,Missing
"City of San Fernando, Pampanga","Unit B 2/F Pet Matters Bldg., MacArthur Hwy., Dolores, City of San Fernando, Pampanga",Travel and tours,"(63 45) 409-8140 / 625-7665
","0908-813-7525 / 0917-811-3942 / 0943-611-8559
",Missing,"Reynaldo Garcia
Email majemahtravel_snf",majemahtravel_snf@yahoo.com.ph,Missing
"Malolos City, Bulacan","G/F Uniwide Bldg., Guinhawa, MacArthur Hi-way, Crossing, Malolos City, Bulacan","Ticketing, passport processing, tour packages, visa assistance, domestic tours","(63 44) 796-0528/662-0506/7557/791-9169/0920-848-8316/0927-272-9981
",Missing,"(63 44) 791-9169
","Evangeline Buenaventura
Email manejkom_travel",manejkom_travel@yahoo.com,www.manejkom.com
"Marilao, Bulacan","71 Sta. Rosa 1, Marilao, Bulacan",Travel and tours,"0925-515-5551
",Missing,Missing,"Apple de Guzman
Email mapple.tours",mapple.tours@gmail.com,Missing
Tarlac,"Sto. Domingo II, Capas,Tarlac",Travel and tours,Missing,"0921-561-5718
",Missing,"Riza Sarmiento
Email metalwingstravel",metalwingstravel@gmail.com,Missing
Angeles City,"2370 Sto Entierro St., Sto. Cristo, Angeles City",Travel and tours,"(63 45) 888-3927/ 888-4267 / 322-3341
",Missing,Missing,"Prisca Castor - General Manager
Email mats1985",mats1985@yahoo.com,Missing
Cabanatuan City,"SNT Arcade, Gen. Luna cor Burgos Sts., Cabanatuan City, Nueva Ecija",travel and tours,"(63 44) 600-2464 / 0917-878-6192
",Missing,Missing,"Roelson Ferry
Email mytravelight",mytravelight@yahoo.com,www.travelight.com.ph
"Plaridel, Bulacan","B & T Bldg., 540 Daang Maharlika Rd., Plaridel, Bulacan",Travel and tours,"(63 44) 794-2496
","0922-827-5577
",Missing,"Erlinda Dumayag
Email momentsreservations",momentsreservations@yahoo.com,Missing
Missing,"Unit 3 Felsenron Bldg., Blk 6 San Roque, MacArthur Hwy., Tarlac City","Travel and tours, visa assistance, passport assistance, tour packages","(63 45) 982-4025/800-7255
","0928-345-7630
",Missing,"Precilla Poselero
Email northshoretravel76",northshoretravel76@yahoo.com.ph,Missing
"2-E Rongui Bldg., #01 MacArthur Hwy., Telabastagan, City of San Fernando, Pampanga",Missing,"Travel and tours, visa assistance, passport assistance,","(63 45) 636-6522 / 888-4253
",Missing,"(63 45) 636-6522
","Peter Andrew Ibe
Email npttc_travelcenter",npttc_travelcenter@yahoo.com,Missing
Clark Freeport Zone,"RM 3 PhilExcel Business Ctr., PhilExcel Business Park, M.A. Roxas Hwy., Clark Freeport Zone",Travel and tours,Missing,"0999-889-0904
",Missing,"Cherry May Sunga
Email cherry",cherry@onemagtravel.com,www.onemagtravel.com
"Angeles City, Pampanga","188-C Friendship Hwy., Anunas, Angeles City","International and domestic flights (ticketing, booking and confirmation), international and domestic hotels and package tours, ferry bookings, airport transfers, 13a and SRRV resident visa and tourist visa extensions, visa assistance to UK, EU, USA, AU, Russia and other countries, Philippine passport, renewal and assistance",/ ,"0921 - 405 - 5903
","(63 45) 625-6729
","Anelyn Ketley
Email",Missing,Missing
Nueva Ecija,"2/F Bernas Bdlg., Del Pilar St., Brgy Nabao, Nueva Ecija",Travel and tours,"0915-844-0731
",Missing,Missing,"Analyn Bustamante
Email over_loadtravel",over_loadtravel@yahoo.com,Missing
Angeles City,"2/F Clark Hauz Bldg., Bayanihan Park, MA Roxas Hwy., Balibago, Angeles City","Inbound and outbound tours, worldwide and domestic ticketing, documentation and passport assistance, visa assistance, internation and local tour packages","(63 45) 625-6203 / 4620 / 6208
",(,"633-60675
","Ma. Josefina Villanueva
Email pentravel_clark",pentravel_clark@yahoo.com.ph,www.pentravel.com.sg
Cabanatuan City,"125 Del Pilar St., Cabanatuan City","Travel and tours, tour packages, visa extension, documentation, ticketing","(63 44) 940-7675
",Missing,Missing,"Julieta Tecson
Email perfectgetawaytoursandtravel",perfectgetawaytoursandtravel@yahoo.com.ph,Missing
Subic Bay Freeport Zone,"Shop #4 Retail 1, Times Square Complex, Subic Bay Freeport Zone",Tour agency,"(63 47) 252-9876/5348
",Missing,"(63 47) 252-9876
",Il Gun Choi ,philsubic@yahoo.com,Missing
"City of San Fernando, Pampanga","#614 MacArthur Hwy., Dolores Junction, City of San Fernando, Pampanga","Ticketing, visa assistance, passport processing, tour packaging","(63 45) 860-0280 / 861-4037
",Missing,Missing,"Francisco Sunga
Email mbcasilang",mbcasilang@yahoo.com,www.rfvsedu.com
"City of San Fernando, Pampanga",Missing,Travel and tours,"(63 45) 436-3992
",Missing,"(63 45) 887-0435
","Roberto Arce - General Manager
Email racesnorth",racesnorth@yahoo.com,Missing
Angeles City,"Unit 11, Plaridel St., Angeles City",Travel and tours,"(63 45) 323-4673 / 887-1896
",Missing,Missing,"Llanila Carolino
Email riserktravelandtours",riserktravelandtours@yahoo.com,Missing
"Angeles City, Pampanga","194 Stall B, Friendship Hwy., Anunas, Angeles City","Ticketing, passporting, tour packages","(63 45) 322-0980/625-6820
",Missing,"(63 45) 322-0980
","Alpha Mallari - President
Email roundaround_travel2007",roundaround_travel2007@yahoo.com,Missing
"Sta. Maria, Bulacan","47 A. Bonifacio St., Poblacion, Sta. Maria, Bulacan",Travel and tours,"(63 44) 288-2339
",Missing,Missing,"Victor Lorenzo Villanueva
Email sanroquelstravel",sanroquelstravel@gmail.com,Missing
Missing,"25 J. P. Rizal St., Sta. Barbara, Baliuag, Bulacan",Travel and tours,"(63 44) 766-3072 / 673-1639
","(0920) 950-1741
","(63 44) 766-3072
","Romeo Rodriguez
Email staugustinetravel",staugustinetravel@yahoo.com,Missing
"Subic Bay Freeport Zone, Zambales","Rm 1 2/F Coldwater Creek Bldg., Central Business District, Subic Bay Freeport Zone, Zambales",Travel and tours,"(63 47) 252-5617
",Missing,"(63 2) 857-2133
","Charles Davis
Email charles",charles@seahorsetours.com,www.seahorsetours.com
"Mabalacat, Pampanga","381C MacArthur Hwy., Dau, Mabalacat, Pampanga",Travel and tours,"(63 45) 892-1807 / 625-6435
",Missing,Missing,Beda Quiambao ,shadowtravelandtours@yahoo.com,Missing
Angeles City,"Unit E Royal Treasure Bldg., Friendship Hwy., Angeles City",Travel and tours,"(63 45) 436-5070
",Missing,Missing,"Rosalie Cunanan
Email dmctravelagency",dmctravelagency@yahoo.com,Missing
Angeles City,"201-A 2nd Level, SM City Pampanga, City of San Fernando, Pampanga",Travel and tours,"(63 45) 889-7337
","0922-886-9946
",Missing,Aireen Quiazon ,sky_reservations09@yahoo.com.ph,www.affordabooking.net
Missing,"Tinio cor. Tomas Joson Sts., Brgy. Dulong Bayan, Quezon, Nueva Ecija",Travel and tours,"(63 44) 943-4117
",Missing,Missing,"Person Cherry Ann Guerrero
Email skyvoyager06",skyvoyager06@yahoo.com.ph,Missing
Subic Bay Freeport,"2/F 205 GT Bldg., 14A Sta. Rita cor. Canal Rd., Subic Bay Freeport",Online bookings,"(63 47) 252-9978
",Missing,Missing,David Porter ,vanessa@subicom.com,www.subicom.com
"Mabalacat, Pampanga","1-A Plaza Romana Bldg., MacArthur Hwy., Dau, Mabalacat, Pampanga","Ticketing, passporting, tour packages","(63 45) 624-0433/331-2894 / 332-1290/892-3656
","0920-900-7237
","(63 45) 331-2894
",Ana Maria Rivera - Owner ,anne.rivera@rocketmail.com,Missing
Missing,Missing,Travel and tours,"(63 45) 321-0092
",Missing,Missing,"Cristy Gugolz
Phone ",swissstartravel@gmail.com,Missing
"Marilao, Bulacan","2/F Unit B, Ma. Fe Bldg., Ibayo, Marilao, Bulacan",Travel and tours,"(63 44) 711-5367 / 288-4360 / 0922-800-3638
",Missing,Missing,"Vivian Tamber
Email tambertravels",tambertravels@yahoo.com,www.tambertravels.com
